network,count
Visual2,15
Frontoparietal,13
Language,10
Default,8
Cingulo-Opercular,8
Somatomotor,6
Dorsal_Attention,4
Auditory,4
Subcortex,3
Posterior_Multimodal,3
Orbito-Affective,1
Ventral_Multimodal,1
