network,count
Visual2,16
Frontoparietal,14
Cingulo-Opercular,9
Default,8
Subcortex,7
Dorsal_Attention,7
Somatomotor,4
Auditory,4
Language,4
Visual1,2
Posterior_Multimodal,1
