network,count
Default,15
Frontoparietal,13
Dorsal_Attention,11
Cingulo-Opercular,9
Visual2,8
Somatomotor,4
Subcortex,4
Posterior_Multimodal,3
Language,3
Visual1,2
Auditory,2
Orbito-Affective,1
Ventral_Multimodal,1
