name,label,HCP_A_CI_lower,HCP_A_CI_upper,DUD_45yo_CI_lower,DUD_45yo_CI_upper,DUD_childhood_CI_lower,DUD_childhood_CI_upper,DUD_residual_CI_lower,DUD_residual_CI_upper,HCP_YA_CI_lower,HCP_YA_CI_upper
"Resting State FC, XGB",xgb_rest_PCA75,0.330870209143071,0.468916948147864,0.143325164599104,0.283136602638239,0.195496915500194,0.336068316721342,0.003945200023532,0.141780846247441,0.16568284454,0.299768770079623
"Subcortical Volume, XGB",xgb_subc,0.148936730033498,0.319160162879027,0.137174139978772,0.275277760562791,0.170977086296383,0.309969148838623,-0.066172771925559,0.082857379419409,0.138235016230428,0.272767891998717
"Surface Area, XGB",xgb_surf,0.083563579982013,0.268338549576588,0.217721795890015,0.346529347342611,0.205832688566555,0.33123705375411,0.044047014267089,0.181406356856869,0.146714741179832,0.28123604464894
"Vismotor Contrast, XGB",xgb_vism,0.188659314911674,0.337751961139737,,,,,,,,
"Vismotor FC, XGB",xgb_vism_FC_PCA75,0.134434191881293,0.304332437561157,,,,,,,,
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.558835890896063,0.661947009705268,0.491971209981172,0.601330965339165,0.468058548994048,0.571082773524897,0.101274633657815,0.242522153595854,0.560286467020661,0.644150516074302
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.472326218159809,0.590306427197199,0.4019802266352,0.51931333950404,0.395254411161317,0.509574527428893,0.093694804777117,0.244179929763675,0.514909058823544,0.608347485962017
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.400594390207423,0.537500379175017,0.311277762317381,0.437623139860666,0.304364363857846,0.425832438236134,0.039053333863054,0.174601921977158,0.275888251921224,0.397696435428684
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.348619683896766,0.494760399558071,0.209435184491665,0.335626807949057,0.23907161310767,0.358980923644412,-0.045829178622095,0.085508529280948,0.448759031389874,0.552853507153671
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.495621480624448,0.610741410963086,0.433256256039593,0.548472631489966,0.431307647219924,0.54163948783622,0.081868961279729,0.226432737406097,0.559391254869902,0.644650954739821
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.545834233836313,0.650335336082395,0.469767429095954,0.582328475898697,0.460546592487978,0.568497939399531,0.112132558064737,0.254630869866193,0.526470072096148,0.615952579634384
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.484130690223582,0.602321381696934,0.332958019655103,0.453161808721009,0.343930334150333,0.455258962330391,0.007374804835233,0.137438280588063,0.443043102796263,0.546169737381491
"Stacked: Resting and Task FC, eNet+eNet",eNet_eNet_set8,0.434112202307064,0.566636623520722,0.261912571959452,0.386805790772236,0.280759418426125,0.396611270795362,0.029801318060493,0.161331836095661,0.443276283941275,0.548396432968596
"Stacked: All, eNet+RF",eNet_rf_set1,0.560641155068563,0.666372640971439,0.484880399205381,0.592653639043053,0.463122711786122,0.563949604483883,0.083600233120438,0.224901088160896,0.548971977856204,0.636920319227985
"Stacked: Task Contrast, eNet+RF",eNet_rf_set2,0.467519242411949,0.587135500947953,0.392691557356202,0.51299987570168,0.396543655378636,0.504346346599444,0.086325749791503,0.229703190956729,0.508099503531085,0.602738530632017
"Stacked: Non Task, eNet+RF",eNet_rf_set3,0.403957060701174,0.539958510264296,0.273175547978279,0.403436918070057,0.274045560011968,0.399145945904773,0.038572254982488,0.176289720044317,0.287623588653131,0.408466553750287
"Stacked: Task FC, eNet+RF",eNet_rf_set4,0.341999019968343,0.491216430990367,0.219582516668237,0.3534136880205,0.257430447034299,0.37907875361901,-0.056715688730003,0.08154884632046,0.446672935289623,0.550411626496622
"Stacked: Task Contrast & Task FC, eNet+RF",eNet_rf_set5,0.502552173303141,0.618505505052154,0.439161664849415,0.551810713218522,0.447203183032489,0.54968600354674,0.050541334062018,0.19699723045332,0.545753831615418,0.633457913919169
"Stacked: All excluding Task FC, eNet+RF",eNet_rf_set6,0.539199739476483,0.646500615154291,0.464769137816677,0.576746468031065,0.459660979044857,0.563890553036048,0.120084805394546,0.25930802267675,0.518132047195826,0.611302889671354
"Stacked: All excluding Task Contrast, eNet+RF",eNet_rf_set7,0.501152551072595,0.618944961580803,0.322955265235418,0.445188600817412,0.340222576064531,0.45352271159397,0.002583737233545,0.142842686673009,0.441185361972646,0.548536665883453
"Stacked: Resting and Task FC, eNet+RF",eNet_rf_set8,0.433914092351108,0.569275932734139,0.263592877230394,0.393869231001029,0.290403406486354,0.407198460515861,0.036702339937717,0.176027962332742,0.440208598380611,0.545992932950055
"Stacked: All, eNet+SVR",eNet_svr_set1,0.555491440309797,0.660228227986542,0.486400020677598,0.598500754070228,0.4704260539531,0.569870775449776,0.100737368417286,0.244202777623555,0.557800616514945,0.644010873300067
"Stacked: Task Contrast, eNet+SVR",eNet_svr_set2,0.461570975870363,0.582837004801796,0.406337422613412,0.52229602891703,0.393687694290073,0.508300374949601,0.086129003778813,0.23952203317032,0.51272709566267,0.606443433554587
"Stacked: Non Task, eNet+SVR",eNet_svr_set3,0.397207784145676,0.53907028340315,0.31210457594405,0.439077608756047,0.291652080210175,0.413599109324387,0.028010672032319,0.16376233351478,0.282003314615585,0.403842110747762
"Stacked: Task FC, eNet+SVR",eNet_svr_set4,0.35399330198471,0.500129544247637,0.226569544978652,0.353240671648514,0.245495984006686,0.363871346871261,-0.046731369970108,0.080150480150419,0.450693558559532,0.555340469945186
"Stacked: Task Contrast & Task FC, eNet+SVR",eNet_svr_set5,0.490735683999632,0.60778282275182,0.434744422104266,0.550382860354998,0.430664146445704,0.539801169355623,0.077827825422321,0.225423770660614,0.557191766466474,0.64427524053056
"Stacked: All excluding Task FC, eNet+SVR",eNet_svr_set6,0.545093006545048,0.651122235170736,0.468337635880908,0.580412267353674,0.452411826235715,0.560738397520355,0.099470146734601,0.243357944821847,0.528363496439175,0.619921871258202
"Stacked: All excluding Task Contrast, eNet+SVR",eNet_svr_set7,0.485782669267609,0.605667084927531,0.319637900453855,0.442231879125287,0.333369448230588,0.442966755349808,-0.013976738509197,0.113757809896219,0.441355365427064,0.545407316877465
"Stacked: Resting and Task FC, eNet+SVR",eNet_svr_set8,0.441693326800062,0.572731031095504,0.263651824604438,0.390836591169931,0.286211931872051,0.401824296514374,0.033220718709487,0.164518550434305,0.441967584137808,0.54809844304975
"Stacked: All, eNet+XGB",eNet_xgb_set1,0.532258080294724,0.641215080491931,0.478830968851718,0.587403783137669,0.45311458481513,0.555823693084569,0.080766578043988,0.222516498009955,0.548646066061524,0.637405672337312
"Stacked: Task Contrast, eNet+XGB",eNet_xgb_set2,0.460918411304569,0.580236971735652,0.395013538375573,0.514895934505417,0.409050003651309,0.516303089724985,0.077373725014132,0.231633561509145,0.491664387953091,0.588087575987133
"Stacked: Non Task, eNet+XGB",eNet_xgb_set3,0.398220760310192,0.537261154150377,0.292605192488788,0.419491532807588,0.288694380469591,0.412332334466707,0.04005594892408,0.177180746993816,0.295874486375604,0.416921528657337
"Stacked: Task FC, eNet+XGB",eNet_xgb_set4,0.352383006359812,0.502094620214995,0.218521025932623,0.351518371162458,0.248107148309153,0.370178069554928,-0.053698871178796,0.087157740387179,0.448469160395891,0.551441326294052
"Stacked: Task Contrast & Task FC, eNet+XGB",eNet_xgb_set5,0.492461297703611,0.607374104765365,0.443750148762773,0.554791318062786,0.441291918016669,0.544287785381386,0.055942978895384,0.201882504455055,0.539480720477572,0.629341343001629
"Stacked: All excluding Task FC, eNet+XGB",eNet_xgb_set6,0.530871534856553,0.640371135098001,0.461313555048307,0.5708899962258,0.449539481561409,0.558925503504057,0.094232756867575,0.239118927271573,0.508708205812032,0.602735660716228
"Stacked: All excluding Task Contrast, eNet+XGB",eNet_xgb_set7,0.484978514255686,0.604037815491104,0.32893058229312,0.452701546482661,0.316449184737354,0.437177949791465,-0.002399986633729,0.137303046339659,0.44658551088982,0.550014511569744
"Stacked: Resting and Task FC, eNet+XGB",eNet_xgb_set8,0.438146352119242,0.570603712791434,0.263362294143542,0.396178480968029,0.27610125244577,0.395677139756871,0.026882330327605,0.167576998646447,0.446504162706338,0.551202696364599
"Stacked: All, RF+eNet",rf_eNet_set1,0.50045704808035,0.617177529063922,0.446102240280516,0.560272499298177,0.41242875129394,0.52092647592701,0.08441515017858,0.232677355582629,0.512466316534323,0.602471127621304
"Stacked: Task Contrast, RF+eNet",rf_eNet_set2,0.399957321630356,0.528542977891591,0.350900141503545,0.473874997384149,0.32161644146708,0.441768309428708,0.06832653737132,0.207024097022086,0.507504829707019,0.598330605416388
"Stacked: Non Task, RF+eNet",rf_eNet_set3,0.367276478034243,0.511163118126837,0.215345782811377,0.352682073227498,0.241540397583954,0.377792141477669,0.002165763904128,0.153061471068035,0.263521155983072,0.382728651066766
"Stacked: Task FC, RF+eNet",rf_eNet_set4,0.263758248242711,0.421458706432873,0.212379052971329,0.346303940435998,0.212968593997456,0.34647456706562,-0.031011606068115,0.103094094897338,0.385079603385194,0.497144814963233
"Stacked: Task Contrast & Task FC, RF+eNet",rf_eNet_set5,0.436036317433871,0.565012613476923,0.381598280735853,0.50344460229328,0.355522878603121,0.471920065041363,0.075273972525786,0.215505578407255,0.516088199871482,0.605800226481639
"Stacked: All excluding Task FC, RF+eNet",rf_eNet_set6,0.513754779389532,0.622532962943919,0.428613950160589,0.54121352736939,0.391681875249735,0.507383216371798,0.058902519543662,0.198519082621892,0.51642864679604,0.604268189673081
"Stacked: All excluding Task Contrast, RF+eNet",rf_eNet_set7,0.447794261910088,0.574730023434464,0.295717357315573,0.426376228958404,0.291561654279492,0.42069211093466,-0.01344351842067,0.126720723425691,0.394051884210799,0.503115861381622
"Stacked: Resting and Task FC, RF+eNet",rf_eNet_set8,0.390627032578262,0.528835437450944,0.261219608730631,0.392769233392984,0.263393037480055,0.393018914072944,0.003640281984901,0.144409533504475,0.378005510636236,0.491416853481537
"Stacked: All, RF+RF",rf_rf_set1,0.453553984750151,0.580283470502153,0.400247468995944,0.516635029121424,0.386603436453938,0.502769438555313,0.076026193589435,0.218024630333557,0.458621841181012,0.556690086936853
"Stacked: Task Contrast, RF+RF",rf_rf_set2,0.382161956954872,0.513604949721392,0.329938747159461,0.455468236409529,0.289203334491748,0.4133518701184,0.054662909335368,0.188315035327206,0.480087988970418,0.575572848613266
"Stacked: Non Task, RF+RF",rf_rf_set3,0.366282938343864,0.505236744073814,0.183967995933257,0.327849674508997,0.218884186247887,0.359420820363319,0.006655376632083,0.158146667728601,0.239983861515109,0.362800824407799
"Stacked: Task FC, RF+RF",rf_rf_set4,0.237693309670017,0.401187628046358,0.182982134764754,0.317740049136166,0.201210136721936,0.338443115230983,-0.0332009169917,0.103159514192233,0.395551901110639,0.506245094270302
"Stacked: Task Contrast & Task FC, RF+RF",rf_rf_set5,0.407765826588321,0.545755687076607,0.350366352387928,0.475322993806428,0.339324124434357,0.459393140141313,0.070067231547677,0.211999613688611,0.487465623485101,0.579231405675028
"Stacked: All excluding Task FC, RF+RF",rf_rf_set6,0.496176915975596,0.60943867899083,0.373457284982406,0.490635923146308,0.359314006920766,0.482605907835978,0.047571715887599,0.187546703295517,0.46268167246573,0.557713699827115
"Stacked: All excluding Task Contrast, RF+RF",rf_rf_set7,0.421179635260947,0.55311024547034,0.268010138230929,0.398729323065741,0.283119861324067,0.414358905176563,-0.016756968377579,0.125542487018713,0.378384126400313,0.490233559927804
"Stacked: Resting and Task FC, RF+RF",rf_rf_set8,0.381807527614611,0.520544350268485,0.241401124351155,0.375298656420263,0.255191261082225,0.385523789092995,0.008027423944652,0.142838019980688,0.368610300422627,0.482718687346882
"Stacked: All, RF+SVR",rf_svr_set1,0.466814591498242,0.591520672475564,0.430082253483155,0.544770537135696,0.399806357114768,0.511558083493652,0.072432160717075,0.215460001322619,0.499051525253313,0.589699363322851
"Stacked: Task Contrast, RF+SVR",rf_svr_set2,0.340436780701132,0.478564611333682,0.343214172691702,0.466689730780918,0.31714528474561,0.437660140082889,0.067868705356836,0.205450677956398,0.472650234044504,0.569562995125144
"Stacked: Non Task, RF+SVR",rf_svr_set3,0.353033691135859,0.49633129495054,0.210114777005719,0.348320874329958,0.236991692871741,0.372630217437713,-0.001005736041331,0.147509632460441,0.26271721833464,0.381826801179904
"Stacked: Task FC, RF+SVR",rf_svr_set4,0.25794389986826,0.41409299296975,0.19497730580813,0.328063064350272,0.205400528545187,0.339324549269268,-0.031099370647916,0.103440890045918,0.387814237837395,0.498353155455746
