name,label,HCP_A_CI_lower,HCP_A_CI_upper,DUD_45yo_CI_lower,DUD_45yo_CI_upper,DUD_childhood_CI_lower,DUD_childhood_CI_upper,DUD_residual_CI_lower,DUD_residual_CI_upper,HCP_YA_CI_lower,HCP_YA_CI_upper
"Resting State FC, XGB",xgb_rest_PCA75,0.108528130288614,0.20985702161652,0.007662683555776,0.081299426917606,0.033011428472926,0.10989669997975,-0.023653146359847,0.021387098167293,-0.003423045356411,0.087161441964485
"Subcortical Volume, XGB",xgb_subc,0.007718643704104,0.099896467288181,0.000340383369632,0.076705535456187,0.018004188547455,0.096220153782914,-0.03557024057875,0.005543219163183,0.012664801165542,0.073434857665528
"Surface Area, XGB",xgb_surf,-0.053633413479308,0.068421839431222,0.044310549640262,0.117777687360901,0.032790275905131,0.110775276243661,-0.006968304345953,0.032124225571786,-0.010416387965699,0.07840106802928
"Vismotor Contrast, XGB",xgb_vism,0.019734046928922,0.116002534509436,,,,,,,,
"Vismotor FC, XGB",xgb_vism_FC_PCA75,-0.012753634576647,0.095063543345464,,,,,,,,
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.313621914339744,0.431008688867749,0.237276295148072,0.362476415116058,0.208659320554678,0.326708825075189,-0.079672988432897,0.037914415658389,0.312458094384205,0.41462092020628
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.20286241778401,0.349354101264993,0.126107100621546,0.265335051678349,0.112886358662942,0.252281921011302,-0.088373717997685,0.036911914927318,0.257977907213202,0.370906100456919
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.150885872331833,0.287550640896847,0.086516974242724,0.193624261522543,0.080287210890011,0.183702743466773,-0.059476478760385,0.019670672590601,0.057674458645132,0.1586833083628
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.123254958411432,0.232331501822388,-0.011522153375277,0.105294721513369,0.03117765008039,0.127834413286566,-0.101271548144256,-0.02728296408067,0.202167610562377,0.304062310473566
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.2393282322135,0.374273359203392,0.170125209903494,0.300777929191846,0.167281988385789,0.293875412200888,-0.089115805969271,0.029359865913319,0.312767029914456,0.415069238430121
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.298020948779308,0.422389102811885,0.206533988910191,0.339995766829427,0.195798214517717,0.323833844110697,-0.077603732803193,0.044828407055039,0.27222644920063,0.380505626304249
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.233748195105424,0.357469501689258,0.087951963454865,0.205254455203168,0.103147723255611,0.207957083471154,-0.101608903333661,-0.015040703392093,0.19378584639726,0.297461824598734
"Stacked: Resting and Task FC, eNet+eNet",eNet_eNet_set8,0.191064634008999,0.305386230131686,0.041233167877567,0.149474300649471,0.061886244285676,0.158362215439989,-0.069405593268573,0.010006859983151,0.196571810849699,0.299396851716117
"Stacked: All, eNet+RF",eNet_rf_set1,0.315041835720314,0.432549746218725,0.234925572328219,0.347515095944967,0.212172811952743,0.317627747161016,-0.085720028675463,0.028560573646625,0.301265739654169,0.401836071082992
"Stacked: Task Contrast, eNet+RF",eNet_rf_set2,0.195395933117261,0.346145828985217,0.11998746698827,0.260964188397473,0.120817558187376,0.251497327298202,-0.078935669646854,0.034480089654975,0.253983319780933,0.363804033759999
"Stacked: Non Task, eNet+RF",eNet_rf_set3,0.147376703160239,0.290820605275146,0.050189780153223,0.163794763070677,0.052234375457028,0.159881870086142,-0.06557222892302,0.018902153553833,0.062842427414213,0.166091351586312
"Stacked: Task FC, eNet+RF",eNet_rf_set4,0.107113590556327,0.240345873205551,0.022063221349617,0.123740792889693,0.048737420316163,0.144474016717319,-0.099477573103654,-0.023354221010814,0.196422038684785,0.301543904272025
"Stacked: Task Contrast & Task FC, eNet+RF",eNet_rf_set5,0.246914781476742,0.380987554721921,0.184731240488001,0.305259699778085,0.187088460635263,0.303496785496649,-0.110694450726425,0.008207746276846,0.297743503555925,0.399286970002279
"Stacked: All excluding Task FC, eNet+RF",eNet_rf_set6,0.28845112175749,0.418047379313307,0.210831184378896,0.333700626923142,0.200277231376978,0.318934471281807,-0.061535239436307,0.051788311354747,0.265901385075268,0.372485333242947
"Stacked: All excluding Task Contrast, eNet+RF",eNet_rf_set7,0.250489283983542,0.373933213581138,0.085167442179114,0.198896910225399,0.101660089113715,0.206565045767114,-0.106442438230323,-0.011097318419773,0.190132688106403,0.299459875241469
"Stacked: Resting and Task FC, eNet+RF",eNet_rf_set8,0.186851252797519,0.314589063438469,0.041886113358783,0.155432677007065,0.063806522977779,0.165870408844169,-0.075974418804247,0.013981741054939,0.190969114049085,0.29603925676938
"Stacked: All, eNet+SVR",eNet_svr_set1,0.310822770463635,0.430576386527729,0.225326954383896,0.358504455480426,0.213554828080368,0.325784113337879,-0.08714597352681,0.034456789546311,0.306990675614642,0.415721535925137
"Stacked: Task Contrast, eNet+SVR",eNet_svr_set2,0.184233944761261,0.338288426990226,0.121969537265593,0.266171696112903,0.111776071077088,0.250297339827852,-0.108738064560688,0.027205119344526,0.250073074247198,0.368102137192921
"Stacked: Non Task, eNet+SVR",eNet_svr_set3,0.13934625393138,0.291178728486246,0.085346303629349,0.194783235406114,0.067008141518589,0.172460174974852,-0.070105108694952,0.012459256206161,0.043730612032919,0.158867513177377
"Stacked: Task FC, eNet+SVR",eNet_svr_set4,0.124160688796331,0.240426240224406,0.016788186231704,0.122112796989892,0.033215671530349,0.130773430401242,-0.115965179749588,-0.034020321206822,0.20046886327221,0.307542904447822
"Stacked: Task Contrast & Task FC, eNet+SVR",eNet_svr_set5,0.228430656884791,0.370120252194097,0.167053222627511,0.301984086121558,0.16611629248209,0.292351554148899,-0.114030264101113,0.019326125043675,0.309085558569805,0.41586808717843
"Stacked: All excluding Task FC, eNet+SVR",eNet_svr_set6,0.295007322158842,0.424797645526256,0.199067493828025,0.337540929128636,0.184202762626444,0.314858244958573,-0.099194737664291,0.02849798967071,0.27013134944613,0.384604392738971
