,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4
rf_xgb_set3,0.6001196957235453,0.3554212429624488,0.41040649592184764,0.43023856214760847,0.38757774272989004
rf_xgb_set4,0.37411048877445524,0.3342274013586616,0.3578464597992716,0.3778795832449132,0.1391646780426726
rf_xgb_set5,0.5197287178573657,0.43457330888117207,0.47364916345502617,0.4936789531785551,0.37258979073540777
rf_xgb_set6,0.6042139372645963,0.553788919964275,0.5954245479923042,0.5069300050691992,0.4579412472295785
rf_xgb_set7,0.5841578175702614,0.3839566152080962,0.45593754073574533,0.4619073359023197,0.3570270199775831
rf_xgb_set8,0.5412250594404626,0.4029425271888485,0.4560195242654882,0.4859589796545226,0.29960690213434304
svr_eNet_set1,0.513389370319548,0.5818613915305745,0.48802106010616736,0.6008414563131499,0.399456231245207
svr_eNet_set2,0.45347471273805184,0.5685262046715955,0.45507470364290203,0.5113544786008168,0.3731185752891309
svr_eNet_set3,0.5092673536563045,0.448129146319327,0.3649630864469825,0.46320493548868397,0.4202369923298178
svr_eNet_set4,0.44273492574493695,0.42267806533498764,0.3833241620657087,0.4134261728481,0.3718658011177347
svr_eNet_set5,0.4767253329525694,0.5405881140641845,0.47533723824467633,0.5484122426267943,0.38499963491575456
svr_eNet_set6,0.4984327114760565,0.6022895216087562,0.47768414113654406,0.5906990384631239,0.3952181972070088
svr_eNet_set7,0.5517882769071982,0.5074514633015549,0.46738062140901293,0.5287029593512644,0.5344766659089968
svr_eNet_set8,0.4843095635603669,0.4684692842926083,0.45183010852470995,0.5075535846673753,0.4843113819620829
svr_rf_set1,0.47529479156629834,0.43897846703572274,0.3963654702068712,0.35713011774813574,0.324230778844583
svr_rf_set2,0.43076431910894636,0.5505418938269795,0.3889253782177239,0.456220550598765,0.31824591358582716
svr_rf_set3,0.4320868401774969,0.38365441031885317,0.2774432377210865,0.382231074394223,0.37945375739729237
svr_rf_set4,0.44284748249708905,0.3342504620088792,0.3339390426796588,0.42227304489008216,0.373292044315255
svr_rf_set5,0.44124879813642864,0.48772246699741306,0.3946565191764655,0.5009105452143693,0.3126021341277251
svr_rf_set6,0.4737757446689541,0.44836217076510426,0.3907066524480859,0.5193133170685326,0.3256383843051126
svr_rf_set7,0.546984198161239,0.37872334976430744,0.39954716280726654,0.3039414536298437,0.5158365597324482
svr_rf_set8,0.48928627375375344,0.4400178098482832,0.38340281303394325,0.51958300996617,0.4767905294876544
svr_svr_set1,0.48393095411307313,0.5600306421926076,0.40929400145281736,0.5340624203285799,0.36705442469140614
svr_svr_set2,0.44154200077340805,0.5271142361946245,0.3788606422823809,0.5012643020223161,0.3393262714889227
svr_svr_set3,0.4826439063680835,0.4441993750809164,0.3311257925939515,0.38835020197424386,0.4379714059935629
svr_svr_set4,0.4623146867842512,0.3724763869089781,0.36782424595902363,0.39497052784324926,0.3733082184742651
svr_svr_set5,0.4640050459982588,0.5338913116435,0.3910784907930559,0.5194333112616506,0.35062815534210556
svr_svr_set6,0.46407931030854876,0.5835988100887752,0.3872065339714804,0.5312433271657274,0.36163247771370743
svr_svr_set7,0.5408812106624479,0.4575899262958608,0.432121270458809,0.451139060455897,0.5443050675714953
svr_svr_set8,0.4845988325978585,0.4262303066642282,0.42096508796241944,0.5122356993936028,0.4810020791516987
svr_xgb_set1,0.48460611075219373,0.43897395414926677,0.39619536628806884,0.39545447215001694,0.3278511673679988
svr_xgb_set2,0.431809459114452,0.578367805208473,0.3839966159043007,0.46366065547691904,0.3212997646088764
svr_xgb_set3,0.47381555895240446,0.37308187711375496,0.3024248163910779,0.3698026549125302,0.3689142328216449
svr_xgb_set4,0.4415677093548534,0.38215527042308073,0.3569886241242104,0.40236343334068014,0.3803346466365739
svr_xgb_set5,0.4463730353328109,0.4962299547679082,0.3968268573578943,0.4754690094713714,0.30263319932216043
svr_xgb_set6,0.49147833734327795,0.4769493544133045,0.3919717344824512,0.41660603036072386,0.3300012576100002
svr_xgb_set7,0.5217721733313976,0.41077765492061746,0.40600830892373324,0.3582459463071001,0.526865843853564
svr_xgb_set8,0.4786949252338404,0.4112337448125496,0.40190898917559614,0.49610921247410045,0.4761578032164455
xgb_eNet_set1,0.5832913656161258,0.581834373142452,0.5661337944674447,0.5655524620169944,0.4940323682117709
xgb_eNet_set2,0.5245998955984724,0.5487297183143077,0.4131645645394581,0.49303361920271727,0.28640419524200644
xgb_eNet_set3,0.518514544775678,0.22636989124982287,0.5380913854047744,0.3201851956324488,0.3927514814360042
xgb_eNet_set4,0.405928962019972,0.28354729059941897,0.38250999961001364,0.34504191166001646,0.2277636687718766
xgb_eNet_set5,0.5387823471823314,0.5497188342119713,0.47149201861765794,0.5583307032501565,0.34662473827067203
xgb_eNet_set6,0.622393076998722,0.5864825952250237,0.5728810903041187,0.5390469284477253,0.5000091008201717
xgb_eNet_set7,0.5726503011199369,0.3716235805861777,0.5515309668985934,0.43519416208740747,0.47784993995400304
xgb_eNet_set8,0.4778063950415498,0.2843267632677987,0.5284436296132434,0.45976235634661666,0.3460837743886117
xgb_rf_set1,0.5253170984376536,0.45395606138149214,0.32902544592176775,0.5283468039928245,0.2272747261408206
xgb_rf_set2,0.458821807760875,0.4770812648677949,0.4077573063002836,0.41636442777059024,0.18381244650543715
xgb_rf_set3,0.5009417843868711,0.18813998223466893,0.5415601965184511,0.31312778596883906,0.38576989067238565
xgb_rf_set4,0.410701926143498,0.21056593240121854,0.32808854437378854,0.34672512073123496,0.18760073589545312
xgb_rf_set5,0.4992551654083881,0.5157467886847447,0.3318970988829968,0.5054896469653021,0.20774497137159134
xgb_rf_set6,0.5780534265560535,0.44514254687131444,0.5464807415633096,0.4803813127819273,0.41324709518672986
xgb_rf_set7,0.5666016213536453,0.24966798494200337,0.3272621900120239,0.43642430248631825,0.21306824273532754
xgb_rf_set8,0.41169471724658213,0.20198143345355385,0.3301038605404306,0.29388505225485967,0.19120009772985272
xgb_svr_set1,0.4861101562084582,0.5124538845388351,0.3710718224220329,0.48539528607633686,0.31665613012057775
xgb_svr_set2,0.444132652030918,0.5061605832857689,0.40973199497499097,0.4346205630821387,0.24227364690707953
xgb_svr_set3,0.5090636352500714,0.2005769581958638,0.5413988902020468,0.2848897875390387,0.3754141837765755
xgb_svr_set4,0.4197494087707274,0.2427572436317739,0.36916264317140146,0.3364462069902251,0.1857619835504045
xgb_svr_set5,0.460263502509922,0.5017182390011916,0.35455850879682477,0.49897265430875104,0.20160670318322693
xgb_svr_set6,0.5519880090167788,0.5108740541246815,0.5534133174317715,0.46136471573996995,0.4592105276251576
xgb_svr_set7,0.5438634789078216,0.25958220013282784,0.3672646457776026,0.37458155322000075,0.2921620855718656
xgb_svr_set8,0.4252454799329881,0.24767875452642552,0.35309088972098596,0.3829788296299249,0.19435697290375764
xgb_xgb_set1,0.4675384326312351,0.5207437027341892,0.3591612771298046,0.45599383813993777,0.29393709915248634
xgb_xgb_set2,0.4563828468603604,0.49302875007708663,0.41471036387795623,0.4037142568990758,0.18786706158489488
xgb_xgb_set3,0.527917742882067,0.19184262091032983,0.5493295703502933,0.3092151140347985,0.38235965015028106
xgb_xgb_set4,0.4398103752465183,0.22683912724038865,0.3423735820806013,0.3061566799968691,0.18755586281054692
xgb_xgb_set5,0.4765176532617307,0.5049922605290351,0.3528246131973231,0.442374515970842,0.22634004930466117
xgb_xgb_set6,0.5657329550154964,0.4997075955283719,0.5345865365149349,0.41318262583412046,0.4096965220562025
xgb_xgb_set7,0.5214415367444605,0.2696198220534694,0.3614255022564772,0.3666089407099926,0.29049924682224965
xgb_xgb_set8,0.4298682073565084,0.2305205118618201,0.34128751659278234,0.3625412999921013,0.21032455501493486
