name,label,r2,mae,corr
"Stacked: Resting and Task FC, eNet+XGB",eNet_xgb_set8,0.094,0.743,0.338
"Stacked: All, RF+eNet",rf_eNet_set1,0.137,0.732,0.464
"Stacked: Task Contrast, RF+eNet",rf_eNet_set2,0.128,0.730,0.376
"Stacked: Non Task, RF+eNet",rf_eNet_set3,0.080,0.757,0.311
"Stacked: Task FC, RF+eNet",rf_eNet_set4,0.061,0.762,0.285
"Stacked: Task Contrast & Task FC, RF+eNet",rf_eNet_set5,0.127,0.733,0.410
"Stacked: All excluding Task FC, RF+eNet",rf_eNet_set6,0.138,0.730,0.448
"Stacked: All excluding Task Contrast, RF+eNet",rf_eNet_set7,0.089,0.755,0.360
"Stacked: Resting and Task FC, RF+eNet",rf_eNet_set8,0.080,0.758,0.329
"Stacked: All, RF+RF",rf_rf_set1,0.131,0.735,0.443
"Stacked: Task Contrast, RF+RF",rf_rf_set2,0.111,0.734,0.339
"Stacked: Non Task, RF+RF",rf_rf_set3,0.073,0.758,0.287
"Stacked: Task FC, RF+RF",rf_rf_set4,0.065,0.758,0.278
"Stacked: Task Contrast & Task FC, RF+RF",rf_rf_set5,0.127,0.733,0.397
"Stacked: All excluding Task FC, RF+RF",rf_rf_set6,0.130,0.733,0.418
"Stacked: All excluding Task Contrast, RF+RF",rf_rf_set7,0.097,0.752,0.352
"Stacked: Resting and Task FC, RF+RF",rf_rf_set8,0.086,0.755,0.321
"Stacked: All, RF+SVR",rf_svr_set1,0.139,0.732,0.453
"Stacked: Task Contrast, RF+SVR",rf_svr_set2,0.130,0.727,0.371
"Stacked: Non Task, RF+SVR",rf_svr_set3,0.081,0.756,0.303
"Stacked: Task FC, RF+SVR",rf_svr_set4,0.064,0.761,0.276
"Stacked: Task Contrast & Task FC, RF+SVR",rf_svr_set5,0.130,0.732,0.399
"Stacked: All excluding Task FC, RF+SVR",rf_svr_set6,0.140,0.731,0.441
"Stacked: All excluding Task Contrast, RF+SVR",rf_svr_set7,0.098,0.754,0.359
"Stacked: Resting and Task FC, RF+SVR",rf_svr_set8,0.085,0.757,0.323
"Stacked: All, RF+XGB",rf_xgb_set1,0.116,0.742,0.417
"Stacked: Task Contrast, RF+XGB",rf_xgb_set2,0.114,0.733,0.344
"Stacked: Non Task, RF+XGB",rf_xgb_set3,0.069,0.760,0.281
"Stacked: Task FC, RF+XGB",rf_xgb_set4,0.064,0.759,0.278
"Stacked: Task Contrast & Task FC, RF+XGB",rf_xgb_set5,0.122,0.736,0.390
"Stacked: All excluding Task FC, RF+XGB",rf_xgb_set6,0.106,0.743,0.374
"Stacked: All excluding Task Contrast, RF+XGB",rf_xgb_set7,0.081,0.760,0.324
