name,label,r2,mae,corr
"Stacked: Resting and Task FC, RF+XGB",rf_xgb_set8,-0.041,0.809,0.072
"Stacked: All, SVR+eNet",svr_eNet_set1,-0.046,0.816,0.125
"Stacked: Task Contrast, SVR+eNet",svr_eNet_set2,-0.074,0.827,0.098
"Stacked: Non Task, SVR+eNet",svr_eNet_set3,-0.036,0.817,0.098
"Stacked: Task FC, SVR+eNet",svr_eNet_set4,-0.070,0.820,0.054
"Stacked: Task Contrast & Task FC, SVR+eNet",svr_eNet_set5,-0.062,0.821,0.100
"Stacked: All excluding Task FC, SVR+eNet",svr_eNet_set6,-0.062,0.820,0.108
"Stacked: All excluding Task Contrast, SVR+eNet",svr_eNet_set7,-0.067,0.829,0.078
"Stacked: Resting and Task FC, SVR+eNet",svr_eNet_set8,-0.046,0.814,0.090
"Stacked: All, SVR+RF",svr_rf_set1,-0.099,0.840,0.109
"Stacked: Task Contrast, SVR+RF",svr_rf_set2,-0.127,0.847,0.067
"Stacked: Non Task, SVR+RF",svr_rf_set3,-0.048,0.821,0.079
"Stacked: Task FC, SVR+RF",svr_rf_set4,-0.084,0.829,0.045
"Stacked: Task Contrast & Task FC, SVR+RF",svr_rf_set5,-0.111,0.841,0.084
"Stacked: All excluding Task FC, SVR+RF",svr_rf_set6,-0.106,0.841,0.086
"Stacked: All excluding Task Contrast, SVR+RF",svr_rf_set7,-0.080,0.834,0.077
"Stacked: Resting and Task FC, SVR+RF",svr_rf_set8,-0.088,0.832,0.073
"Stacked: All, SVR+SVR",svr_svr_set1,-0.066,0.824,0.117
"Stacked: Task Contrast, SVR+SVR",svr_svr_set2,-0.090,0.833,0.092
"Stacked: Non Task, SVR+SVR",svr_svr_set3,-0.040,0.816,0.081
"Stacked: Task FC, SVR+SVR",svr_svr_set4,-0.077,0.825,0.042
"Stacked: Task Contrast & Task FC, SVR+SVR",svr_svr_set5,-0.081,0.829,0.095
"Stacked: All excluding Task FC, SVR+SVR",svr_svr_set6,-0.071,0.824,0.098
"Stacked: All excluding Task Contrast, SVR+SVR",svr_svr_set7,-0.092,0.832,0.050
"Stacked: Resting and Task FC, SVR+SVR",svr_svr_set8,-0.066,0.823,0.087
"Stacked: All, SVR+XGB",svr_xgb_set1,-0.082,0.834,0.126
"Stacked: Task Contrast, SVR+XGB",svr_xgb_set2,-0.111,0.842,0.079
"Stacked: Non Task, SVR+XGB",svr_xgb_set3,-0.056,0.823,0.078
