name,label,r2,mae,corr
"Stacked: All, XGB+SVR",xgb_svr_set1,0.059,0.775,0.272
"Stacked: Task Contrast, XGB+SVR",xgb_svr_set2,0.000,0.798,0.210
"Stacked: Non Task, XGB+SVR",xgb_svr_set3,-0.012,0.800,0.248
"Stacked: Task FC, XGB+SVR",xgb_svr_set4,-0.022,0.803,0.219
"Stacked: Task Contrast & Task FC, XGB+SVR",xgb_svr_set5,0.047,0.778,0.247
"Stacked: All excluding Task FC, XGB+SVR",xgb_svr_set6,0.029,0.788,0.237
"Stacked: All excluding Task Contrast, XGB+SVR",xgb_svr_set7,0.006,0.791,0.233
"Stacked: Resting and Task FC, XGB+SVR",xgb_svr_set8,0.000,0.791,0.232
"Stacked: All, XGB+XGB",xgb_xgb_set1,0.041,0.783,0.243
"Stacked: Task Contrast, XGB+XGB",xgb_xgb_set2,-0.006,0.801,0.200
"Stacked: Non Task, XGB+XGB",xgb_xgb_set3,-0.023,0.804,0.243
"Stacked: Task FC, XGB+XGB",xgb_xgb_set4,-0.026,0.804,0.217
"Stacked: Task Contrast & Task FC, XGB+XGB",xgb_xgb_set5,0.045,0.777,0.242
"Stacked: All excluding Task FC, XGB+XGB",xgb_xgb_set6,0.019,0.791,0.222
"Stacked: All excluding Task Contrast, XGB+XGB",xgb_xgb_set7,-0.002,0.793,0.224
"Stacked: Resting and Task FC, XGB+XGB",xgb_xgb_set8,-0.006,0.792,0.224
