name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
"Stacked: Resting and Task FC, RF+eNet",rf_eNet_set8,0.657249998157013,0.772560423402952,0.799520531446506,0.801873638209158,0.670633922366759,0.728392363955093,0.756854093812407,0.780278943141167
"Stacked: All, RF+RF",rf_rf_set1,0.647211193975047,0.763737730533815,0.800041326496566,0.778272086178428,0.651732596764002,0.734195880373078,0.762340471123059,0.765012588108906
"Stacked: Task Contrast, RF+RF",rf_rf_set2,0.584702691945107,0.759694519961514,0.774332803818555,0.766869830465163,0.635938265183289,0.744999238865368,0.751338981681522,0.762682371141644
"Stacked: Non Task, RF+RF",rf_rf_set3,0.713613801552018,0.815889216434547,0.845743156239821,0.841531670391167,0.656297395924023,0.737980693443378,0.8090417340471,0.803181437091918
"Stacked: Task FC, RF+RF",rf_rf_set4,0.642932597088915,0.762570091723843,0.78766200004919,0.784123490883526,0.677889384345185,0.733063399145724,0.742261228778915,0.75703998222608
"Stacked: Task Contrast & Task FC, RF+RF",rf_rf_set5,0.621858785901708,0.755508179687791,0.792871506182993,0.765941383623714,0.657279433581973,0.73178218969603,0.743361149619973,0.752853302995954
"Stacked: All excluding Task FC, RF+RF",rf_rf_set6,0.642788805518461,0.766635551911445,0.79677786988082,0.786633323166181,0.634941917947373,0.736376182421406,0.780935981538502,0.785020526904821
"Stacked: All excluding Task Contrast, RF+RF",rf_rf_set7,0.670591920810836,0.774390328368499,0.798286200067289,0.800195956450169,0.668141073511333,0.733939898822384,0.765112633735088,0.776024996826435
"Stacked: Resting and Task FC, RF+RF",rf_rf_set8,0.669883115061492,0.772363167311093,0.796254898842957,0.799389535858552,0.671772243111028,0.733299553568795,0.750036419880959,0.772697029970261
"Stacked: All, RF+SVR",rf_svr_set1,0.638325241742308,0.767252364389358,0.788544166819958,0.774528391091808,0.63873797381516,0.734217532034582,0.772852959925974,0.770159610411128
"Stacked: Task Contrast, RF+SVR",rf_svr_set2,0.593135555519597,0.753571918845106,0.779327048108046,0.767274107728202,0.626056272165857,0.74099259121702,0.753750136871893,0.763971226128657
"Stacked: Non Task, RF+SVR",rf_svr_set3,0.707475694591823,0.814627140015623,0.828863913368484,0.830553357519048,0.65061221378375,0.733593804027399,0.795137327526127,0.803850637784358
"Stacked: Task FC, RF+SVR",rf_svr_set4,0.644695863579432,0.776815284471688,0.787694338988514,0.794086981356341,0.684361916993717,0.734733621612129,0.742564359663739,0.756392671373223
"Stacked: Task Contrast & Task FC, RF+SVR",rf_svr_set5,0.618819928382383,0.753871483577501,0.793090830958237,0.765012042675429,0.645079525880521,0.735546120901109,0.745745643289889,0.751463278855642
"Stacked: All excluding Task FC, RF+SVR",rf_svr_set6,0.644336528135816,0.768250861841587,0.794689802196681,0.780160358233398,0.626183328520847,0.729905934802359,0.776710694198219,0.786433074326533
"Stacked: All excluding Task Contrast, RF+SVR",rf_svr_set7,0.668234885083149,0.788654082696324,0.792291969381902,0.805304422951305,0.660035962451205,0.726686527633153,0.768932907792876,0.781407578243646
"Stacked: Resting and Task FC, RF+SVR",rf_svr_set8,0.662804819626363,0.780892407401869,0.788620414047787,0.79961395160857,0.673786889904349,0.73450251036796,0.747235720547621,0.770657931575806
"Stacked: All, RF+XGB",rf_xgb_set1,0.655060516596319,0.770421566327901,0.80867428111045,0.784825691308283,0.662399151108979,0.752157751341248,0.790362625863543,0.773632273536157
"Stacked: Task Contrast, RF+XGB",rf_xgb_set2,0.597966488987953,0.771640189489486,0.782835264351208,0.775680356189286,0.641133122811183,0.761508089132732,0.773877552835299,0.772421338265857
"Stacked: Non Task, RF+XGB",rf_xgb_set3,0.71061851264465,0.817437420721507,0.84852603494932,0.843576357238393,0.653361685387827,0.745320753171184,0.814098918479486,0.796330003006794
"Stacked: Task FC, RF+XGB",rf_xgb_set4,0.638554761255114,0.760192983144919,0.783009033992636,0.786880929211626,0.680277241819122,0.733972103217883,0.743860585761079,0.750434939895468
"Stacked: Task Contrast & Task FC, RF+XGB",rf_xgb_set5,0.62553369969538,0.769899523892238,0.804877420904945,0.766827591412246,0.656558308587574,0.743010547878364,0.756256623656437,0.75177484132048
"Stacked: All excluding Task FC, RF+XGB",rf_xgb_set6,0.656937021186547,0.782269978983122,0.804599276725437,0.792918130051249,0.641259012014138,0.747131104096504,0.80673437123841,0.792674267396624
"Stacked: All excluding Task Contrast, RF+XGB",rf_xgb_set7,0.678417860413523,0.78064909169774,0.804330498114469,0.802936563371935,0.668124152962383,0.751908457955681,0.780163698194327,0.779811171263997
"Stacked: Resting and Task FC, RF+XGB",rf_xgb_set8,0.677940259609413,0.772629103251023,0.79983667841135,0.801189740452406,0.673297740770502,0.738791279734305,0.757609281738331,0.773806738268395
"Stacked: All, SVR+eNet",svr_eNet_set1,0.621068295786497,0.779871383029474,0.793685977315458,0.832521468593889,0.64617055823184,0.68783546845461,0.723912776348435,0.77982592904879
"Stacked: Task Contrast, SVR+eNet",svr_eNet_set2,0.608860660754291,0.770359702496664,0.828320077509793,0.831281723058,0.660541538926772,0.772026724770228,0.769308901977398,0.819250496962759
"Stacked: Non Task, SVR+eNet",svr_eNet_set3,0.703561473185991,0.82179784901846,0.807101539850211,0.756933279016968,0.681724869409153,0.824619068070708,0.8272742764,0.790312421471674
"Stacked: Task FC, SVR+eNet",svr_eNet_set4,0.652278058066016,0.807661019444415,0.749690994494421,0.732526709498137,0.6987639818091,0.653279218245828,0.721011021959473,0.720121954321486
"Stacked: Task Contrast & Task FC, SVR+eNet",svr_eNet_set5,0.611832904078607,0.780480276314014,0.799958483435787,0.832521468593889,0.650853112549877,0.686561864305848,0.700820326243914,0.788618837156257
"Stacked: All excluding Task FC, SVR+eNet",svr_eNet_set6,0.62275295403931,0.768035332053839,0.819504837212033,0.831281723058,0.646238068670885,0.744671643337472,0.765421224470483,0.797353267774236
"Stacked: All excluding Task Contrast, SVR+eNet",svr_eNet_set7,0.654701084417965,0.801158230992193,0.749710478040442,0.70722272326264,0.667066382997939,0.665189350440456,0.743160677872587,0.72936887070419
"Stacked: Resting and Task FC, SVR+eNet",svr_eNet_set8,0.668016108865889,0.801158230992193,0.745709047777662,0.73383217063698,0.693611994242163,0.654601464608701,0.739048099700323,0.74123457565117
"Stacked: All, SVR+RF",svr_rf_set1,0.643948320518938,0.806226006099714,0.767733488932999,0.830596842635921,0.642032204403431,0.668981604348524,0.740907928679222,0.794477859433193
"Stacked: Task Contrast, SVR+RF",svr_rf_set2,0.635912494909006,0.816206429586752,0.817711031747869,0.832332518958378,0.681214589470931,0.792780060061655,0.75125687581692,0.825181847845365
"Stacked: Non Task, SVR+RF",svr_rf_set3,0.740127059813816,0.83709722777111,0.834235660245643,0.797543230925298,0.700899869400795,0.846617901754482,0.864615430279577,0.81677289421175
"Stacked: Task FC, SVR+RF",svr_rf_set4,0.671073406775523,0.839234434536345,0.74074896008425,0.757957622131356,0.766240179786286,0.673883182708615,0.762541156663856,0.75116872563963
"Stacked: Task Contrast & Task FC, SVR+RF",svr_rf_set5,0.648233572142613,0.803190038770079,0.765324273408994,0.83115584416484,0.640069776153067,0.66976446491991,0.744274709516605,0.799181345226738
"Stacked: All excluding Task FC, SVR+RF",svr_rf_set6,0.660534010242256,0.814250537122414,0.80501689236126,0.830508067726348,0.677936080676922,0.777776125474697,0.746884437723098,0.814652345826479
"Stacked: All excluding Task Contrast, SVR+RF",svr_rf_set7,0.670239498878094,0.829437496845477,0.728675505391257,0.718575768104315,0.720270437351151,0.685770293132538,0.767701108881162,0.741293909942562
"Stacked: Resting and Task FC, SVR+RF",svr_rf_set8,0.692727794326683,0.831894466912482,0.731231678161458,0.75397373625249,0.749570948989049,0.696292577008143,0.773002102418341,0.762526306858125
"Stacked: All, SVR+SVR",svr_svr_set1,0.639599196730842,0.78784418715514,0.824407999214496,0.825766415567641,0.666593371406722,0.712270155107061,0.780267775857717,0.796014179270143
"Stacked: Task Contrast, SVR+SVR",svr_svr_set2,0.635612406873296,0.783659998931248,0.830928939544002,0.830271852703718,0.680429573101548,0.776356100074376,0.761288665476654,0.81668944521134
"Stacked: Non Task, SVR+SVR",svr_svr_set3,0.70879995339689,0.835920211127845,0.800248555038709,0.766307166816776,0.679711602843186,0.834513319214219,0.88797971833092,0.793847633881063
"Stacked: Task FC, SVR+SVR",svr_svr_set4,0.675554338557329,0.832197788806169,0.724935829659027,0.749867098002924,0.779731686126703,0.701807190109141,0.748336621025595,0.769278247339387
"Stacked: Task Contrast & Task FC, SVR+SVR",svr_svr_set5,0.628872905828246,0.793462369604075,0.82478577811148,0.828319299643968,0.668469588821734,0.70766677818047,0.742338689186006,0.791728403738782
"Stacked: All excluding Task FC, SVR+SVR",svr_svr_set6,0.651238789550805,0.784593480757654,0.824200390763658,0.827413167390994,0.662177855634169,0.753738225311492,0.782539909816327,0.807633590344082
"Stacked: All excluding Task Contrast, SVR+SVR",svr_svr_set7,0.666543270473815,0.822026034502107,0.745407901754806,0.720439689147596,0.667837052329177,0.675140595344456,0.788493128505324,0.724103289522329
"Stacked: Resting and Task FC, SVR+SVR",svr_svr_set8,0.664899629819182,0.825576589536189,0.742049810781417,0.746819447046388,0.768757383707117,0.694038580395362,0.780913650287289,0.783499850419159
"Stacked: All, SVR+XGB",svr_xgb_set1,0.650863527199465,0.798865325709347,0.795076650500284,0.830990171114068,0.662421874152675,0.733262064134167,0.751643219552543,0.80052766389802
"Stacked: Task Contrast, SVR+XGB",svr_xgb_set2,0.671681792931765,0.813172345433241,0.823930040150605,0.831502192288747,0.67430270730143,0.775453083129409,0.771128764995649,0.827511780411837
"Stacked: Non Task, SVR+XGB",svr_xgb_set3,0.731089593491648,0.838673278015088,0.851364875144751,0.787472539431002,0.710094194759759,0.844657173291904,0.858014120641674,0.819295980917793
"Stacked: Task FC, SVR+XGB",svr_xgb_set4,0.679163696195398,0.83826431410929,0.733075139569463,0.75840811076733,0.798061971865123,0.686462047419469,0.772620574577943,0.78220602152391
"Stacked: Task Contrast & Task FC, SVR+XGB",svr_xgb_set5,0.679188070475431,0.795442599522818,0.793068406383244,0.831373086099389,0.66400613048662,0.723512327100001,0.745191822800311,0.803775254819806
"Stacked: All excluding Task FC, SVR+XGB",svr_xgb_set6,0.653983929149954,0.808273368459293,0.815386211009592,0.830452949760857,0.674353907662897,0.77294785114812,0.781943569428245,0.811771436094677
"Stacked: All excluding Task Contrast, SVR+XGB",svr_xgb_set7,0.694527343150003,0.830320662267187,0.751625558010796,0.720155320711611,0.737605082817744,0.689578997929729,0.788853056376498,0.739864232479506
"Stacked: Resting and Task FC, SVR+XGB",svr_xgb_set8,0.722998593144242,0.831182547019481,0.739371034350584,0.765782634552233,0.784470330040779,0.684484292764122,0.780841716050213,0.773842247264421
"Stacked: All, XGB+eNet",xgb_eNet_set1,0.63106265270565,0.769724703637235,0.796164030125661,0.748285173980742,0.667052142511474,0.71282119150686,0.746554882019979,0.751526720595406
"Stacked: Task Contrast, XGB+eNet",xgb_eNet_set2,0.577538928831238,0.801044979335065,0.835453778388007,0.760617931372091,0.663807989783702,0.742203198916247,0.754646982491354,0.747125956820968
"Stacked: Non Task, XGB+eNet",xgb_eNet_set3,0.756321280485216,0.84222396850957,0.842907659896748,0.800843370606854,0.720013518183723,0.76957390774803,0.783686343329028,0.792113789680525
"Stacked: Task FC, XGB+eNet",xgb_eNet_set4,0.638395259815103,0.757614001270003,0.784947892850372,0.777866879273268,0.679875314596425,0.726620788692978,0.819624285294279,0.76724978386644
"Stacked: Task Contrast & Task FC, XGB+eNet",xgb_eNet_set5,0.625263292505889,0.759784669351492,0.793294677015204,0.748560870363176,0.669229361200033,0.701167881269963,0.740219615995066,0.741587156238615
"Stacked: All excluding Task FC, XGB+eNet",xgb_eNet_set6,0.670741333245908,0.796091963081663,0.81991576983914,0.751540862152076,0.664994857922355,0.721056412772454,0.750785220895722,0.757467550567596
"Stacked: All excluding Task Contrast, XGB+eNet",xgb_eNet_set7,0.65693683966322,0.774603209450631,0.793513250642743,0.77180836854567,0.674677110137659,0.730158845903069,0.771169799165546,0.771721975715823
"Stacked: Resting and Task FC, XGB+eNet",xgb_eNet_set8,0.659122227566587,0.766026550454126,0.79352177442278,0.772624033547582,0.676266097825647,0.721571184238897,0.766896607994845,0.775367828128525
"Stacked: All, XGB+RF",xgb_rf_set1,0.691438316610332,0.762452554034487,0.811595916728027,0.753541199302483,0.715408060446211,0.800761180574678,0.835315494629446,0.768033479768274
"Stacked: Task Contrast, XGB+RF",xgb_rf_set2,0.577911395314373,0.798054551723688,0.853752982936889,0.762340295488865,0.674078426667734,0.749785151441661,0.83780895118872,0.758486473426516
"Stacked: Non Task, XGB+RF",xgb_rf_set3,0.774838177727762,0.864866866350568,0.854017719668763,0.819503204560883,0.72543450351775,0.815482684391318,0.800242008778308,0.796437192907895
"Stacked: Task FC, XGB+RF",xgb_rf_set4,0.65205568798342,0.763743096047017,0.794854298741708,0.784867821516265,0.709671169248359,0.728345848953739,0.848877143818603,0.78716384378785
"Stacked: Task Contrast & Task FC, XGB+RF",xgb_rf_set5,0.691031904824971,0.760412316209998,0.797523756163961,0.755164433456853,0.686745306401022,0.708040782577359,0.844375984702607,0.752163205222378
"Stacked: All excluding Task FC, XGB+RF",xgb_rf_set6,0.759792425309212,0.792804105831609,0.849320350038677,0.756568981013474,0.72005947134312,0.805025501186884,0.818236812646109,0.814751925495153
"Stacked: All excluding Task Contrast, XGB+RF",xgb_rf_set7,0.66237428086479,0.762405780530982,0.810425364990275,0.811014207803824,0.720281596483411,0.80349443856403,0.840162230191363,0.78235070950945
"Stacked: Resting and Task FC, XGB+RF",xgb_rf_set8,0.666315039345328,0.761301111127028,0.805040336549869,0.779011626947544,0.719533539228755,0.728998792978685,0.848085296967205,0.82536093718148
"Stacked: All, XGB+SVR",xgb_svr_set1,0.660378787656883,0.775053515242421,0.824054629309121,0.75822590269419,0.684595958634253,0.742195844762477,0.80293327936913,0.781109596197912
"Stacked: Task Contrast, XGB+SVR",xgb_svr_set2,0.582391177033839,0.80000448754894,0.843845032269256,0.765616808187219,0.673805937847953,0.74764637444073,0.790685699268854,0.740132631709629
"Stacked: Non Task, XGB+SVR",xgb_svr_set3,0.763650220205076,0.854948188293714,0.854701345158816,0.813428611568506,0.728472873812299,0.797905133156253,0.807577481966216,0.796585621194824
"Stacked: Task FC, XGB+SVR",xgb_svr_set4,0.657312867042207,0.771509271766768,0.793537970928136,0.783634893797921,0.704301489058864,0.739127006339096,0.842633839349981,0.793053008207886
"Stacked: Task Contrast & Task FC, XGB+SVR",xgb_svr_set5,0.647380211761955,0.768388060291057,0.812165431698472,0.75409809564168,0.683498048182727,0.705694083785368,0.819283879841117,0.754641165251736
"Stacked: All excluding Task FC, XGB+SVR",xgb_svr_set6,0.701061078546667,0.804286501799396,0.842866794973489,0.768168100644992,0.686159094939435,0.752017956282325,0.783585000255692,0.773101373377469
"Stacked: All excluding Task Contrast, XGB+SVR",xgb_svr_set7,0.664819294452648,0.781527603560913,0.82098435877157,0.786952702004873,0.705457707933705,0.764564956208934,0.820697016851012,0.791491380857533
"Stacked: Resting and Task FC, XGB+SVR",xgb_svr_set8,0.668816236675496,0.777532787994862,0.807847285013052,0.782883055160426,0.708078281257217,0.728600717581064,0.829763340299134,0.815106903953655
"Stacked: All, XGB+XGB",xgb_xgb_set1,0.667363809358218,0.773294103334004,0.833215699002757,0.75967929742468,0.683707660797361,0.77140211850664,0.823666419982899,0.794516514671282
"Stacked: Task Contrast, XGB+XGB",xgb_xgb_set2,0.584902932381225,0.815997158576788,0.850075652876484,0.766594784340699,0.670342525496235,0.76343642607584,0.803427635236559,0.75396781937215
"Stacked: Non Task, XGB+XGB",xgb_xgb_set3,0.773756513234281,0.864913158007868,0.848434935487767,0.816509274679637,0.724847409317527,0.80552285403589,0.818184451771869,0.805351517225894
"Stacked: Task FC, XGB+XGB",xgb_xgb_set4,0.6755235672904,0.772270508817949,0.800231928121925,0.782335576709597,0.701929794024163,0.733400064903994,0.838068325494528,0.790576992486989
"Stacked: Task Contrast & Task FC, XGB+XGB",xgb_xgb_set5,0.667116103165855,0.768412789334456,0.816443882281109,0.758401083001635,0.678326631479477,0.718847016580569,0.821948538528155,0.761284724028084
"Stacked: All excluding Task FC, XGB+XGB",xgb_xgb_set6,0.73730609974621,0.802675375187776,0.84253755923628,0.765022339116778,0.69182038148294,0.773414339470927,0.802945415692423,0.796955031022329
"Stacked: All excluding Task Contrast, XGB+XGB",xgb_xgb_set7,0.67667416965937,0.767303803612317,0.828066032617638,0.78858766831112,0.701690958198622,0.776938759761675,0.828885976720881,0.795512184704952
"Stacked: Resting and Task FC, XGB+XGB",xgb_xgb_set8,0.672877120180007,0.768919930998718,0.817573150589005,0.787550121077188,0.702897762524844,0.735872322715281,0.831442621717697,0.813244467167655
